,Text ID,Title,Negative,Neutral,Positive,Geopolitical Entities
1005,9126,American And Saudi Weapons Recoverd From ISIS Positions In Mosul,0.244,0.756,0.0,Mosul
1008,5587,Insurers use California’s assisted-suicide law to deny treatment for terminal patients,0.194,0.806,0.0,California
1011,6489,Starbucks ‘Unity’ Cup Draws Criticism - The Onion - America's Finest News Source,0.195,0.805,0.0,America
1013,6404,#BREAKING: SECOND Assassination Attempt On Trump In NV; Suspect Detained (LIVE BLOG),0.494,0.506,0.0,NV
1016,6934,America’s Streets Will Run With Blood- Mike Adams,0.0,1.0,0.0,America
1029,5948,Russia or the Neocons: Who endangers American democracy? | OffGuardian,0.0,1.0,0.0,Russia
1030,7674,Comment on How about a trip to Paris this fall? Sure looks lovely this time of year… by Miss Marple,0.065,0.688,0.247,Paris
1031,8776,The path to total Dictatorship: America’s Shadow Government and its silent coup,0.0,1.0,0.0,America
1033,7255,Russia WW3 Weapon: Nikola Tesla’s Death Ray In Vladimir Putin’s Possession?,0.404,0.596,0.0,Russia
1040,5344,Al-Qaeda's Assault on Aleppo Continues Despite Lack of Progress,0.435,0.426,0.139,Aleppo
1043,6192,Revealed: Several Ku Klux Klan Units Active in Germany,0.0,0.748,0.252,Germany
1047,9396,The announcement for Wales’ first female bishop attracted quite a crowd,0.0,0.781,0.219,Wales
1050,8633,Trump's Victory Proves US Political Class Out of Touch With Electorate: Ron Paul,0.0,1.0,0.0,US
1055,6663,"Latest Posts WikiLeaks Documents Coming From US Intelligence Not Russia, MSM & Democrat Party Dying",0.0,0.691,0.309,US; Russia
1061,8331,"Florida Voters Approve Medical Marijuana, Reject Federal Prohibition",0.278,0.722,0.0,Florida
1062,6820,Should America Pardon the National Security State?,0.0,0.515,0.485,America
1070,6295,"Like a good little sharia-compliant female, Prince Charles’ wife Camilla removes her shoes to enter a mosque in Abu Dhabi, but the Prince of Wales keeps his shoes on",0.0,0.879,0.121,Abu Dhabi
1085,8179,Does The U.S. Government Really Know Who Hacked Democrats Emails?,0.248,0.752,0.0,US
1089,9101,Most Popular Halloween Costumes Of 2016 - The Onion - America's Finest News Source,0.0,0.808,0.192,America
1100,6111,Britain No Longer a Sovereign Democracy,0.306,0.694,0.0,Britain
1101,7620,Russia Demands Explanation After US Hacks Entire Russian Infrastructure,0.0,1.0,0.0,Russia; US
1105,7646,Report: It Still Nowhere Near Okay To Act Like Donald Trump - The Onion - America's Finest News Source,0.079,0.803,0.118,America
1106,10541,"Germany: Children in one school required to chant ‘Allahu Akbar’; in another, Christian events eliminated",0.0,1.0,0.0,Germany
1109,9411,Defense Secretary: US Talking to Turkey About Future Role in Raqqa,0.0,0.87,0.13,US; Turkey; Raqqa
1118,7165,Mobilizing in Guatemala,0.0,1.0,0.0,Guatemala
1126,9162,"Artist's Impression Of ""The Clinton Machine"" - Russia News Now",0.0,0.826,0.174,Russia
1127,6406,"Political Party of Anarchists, Libertarians, Hackers, and Computer Geeks to Take Power in Iceland",0.086,0.679,0.235,Iceland
1131,7942,“Organic” Food From China Found To Be Highly Contaminated,0.0,1.0,0.0,China
1135,8638,Must Read of the Day – Dennis Kucinich’s Extraordinary Warning on D.C.’s Think Tank Warmongers,0.323,0.677,0.0,DC
1136,6265,"This Election is Not About Trump, Its about a Giant Middle Finger to Washington DC.",0.0,1.0,0.0,Washington DC
1148,6007,US Claims Four Arms Ships From Iran to Yemen Caught in Past 18 Months,0.0,1.0,0.0,US; Iran; Yemen
1150,7207,"Donald Trump to leave America for a younger, sexier country",0.118,0.882,0.0,America
1155,7720,Clinton Staff Readies EMP Launch To Disable All Nation’s Electronic Devices - The Onion - America's Finest News Source,0.0,1.0,0.0,America
1156,6050,"Team Clinton: Let’s Talk About Russia, Not the WikiLeaks Emails",0.0,1.0,0.0,Russia
1161,9475,US Engineers Prepare Bionic Device to Generate Electricity by Walking,0.0,1.0,0.0,US
1165,8764,Iraqi Army: US Hindering Advance on Mosul,0.0,1.0,0.0,US; Mosul
1166,7297,Hillary Clinton Appears Disoriented And Confused At New York Airport Day Before Presidential Election,0.286,0.714,0.0,New York
1167,7092,"James Bond wouldn’t make the grade in modern MI6, says Britain’s top spy",0.0,0.87,0.13,Britain
1170,10167,The Modern History of ‘Rigged’ US Elections,0.0,1.0,0.0,US
1177,10515,Arizona: “Poster Child” for ObamaCare’s Failures,0.375,0.625,0.0,Arizona
1180,8186,One Photo Sums Up How Differently America Treats People Of Color And The White Bundy Militiamen,0.0,1.0,0.0,America
1183,8849,Erdogan Checks in with Obama Before Bombing Syria,0.0,1.0,0.0,Syria
1184,9662,Juror 4: Oregon standoff prosecutors failed to prove ‘intent’ to impede federal workers,0.216,0.784,0.0,Oregon
1189,6215,U.S. Special Forces Join Fight For Mosul,0.226,0.348,0.426,US; Mosul
1190,8592,Canada Posts Perfect Tweet After Immigration Website Crashes,0.0,0.654,0.346,Canada
1191,9480,Saudi Arabia Should Continue to Seek New Revenue Sources - IMF,0.0,1.0,0.0,Saudi Arabia
1192,8760,‘McCarthyism’ Rides Again. And It's Again Poisoning the Foundations of a Free Society in the US - Justin Raimondo,0.158,0.705,0.137,US
1193,8155,China’s Growing Amphibious Capabilities (two-parts video report),0.0,0.779,0.221,China
1196,7026,US Airstrike Killed Five Al-Qaeda Members in Yemen on October 21 - CENTCOM,0.273,0.727,0.0,US; Yemen
1199,7578,Re: Schools All Over America Are Closing On Election Day Due To Fears Of Violence,0.347,0.653,0.0,America
1201,10147,Why Russia’s army can’t complete its modernization program,0.0,1.0,0.0,Russia
1203,5311,Black Lives Matter LOSES: America’s Respect For Police SURGES,0.229,0.453,0.317,America
1205,9644,Iran’s Zarif to hold talks with Russia’s Lavrov on Syria in Moscow,0.0,1.0,0.0,Iran; Russia; Syria; Moscow
1212,9233,"MI5 Chief Gives First Ever Interview to Press, Hypes 'Aggressive Russia' - Jason Ditz",0.11,0.89,0.0,Russia
1213,8551,Russia is Hoarding Gold at an Alarming Rate — The Next World War Will Be Fought with Currencies,0.339,0.661,0.0,Russia
1221,6063,"Janet Reno, First Female US Attorney General, Dies At 78",0.0,1.0,0.0,US
1224,8986,"HUGE Air Drill, Over 130 Command Centers in Russia, CIS on Alert",0.0,0.656,0.344,Russia; CIS
1227,9859,"Mark Crispin Miller, a professor at New York University, explains how US elections are stolen:",0.186,0.814,0.0,US
1229,8169,"Hillary Clinton Wants a Strong Russia. Wait, what did she say?",0.0,0.752,0.248,Russia
1238,8987,Russia And NATO Engage In One Of The Largest Military Build-Ups Since The Cold War,0.202,0.674,0.124,Russia
1243,8720,Russian Defence Minister in India | Russia & India Report,0.0,0.865,0.135,India; Russia; India
1244,9934,Susan Rice: U.S. Must Integrate LGBT Rights into Gov’t and Foreign Policy,0.0,1.0,0.0,US
1245,6343,Police arrest 141 in crackdown on North Dakota pipeline protesters,0.35,0.65,0.0,North Dakota
1249,9643,Russia Has Called the War Party's Bluff     :,0.358,0.642,0.0,Russia
1252,8044,Look What Students FORCED To Do After Muslims FLOOD Germany,0.293,0.707,0.0,Germany
1258,7096,Mike Pence says “shalom” to Israel’s Republicans,0.0,1.0,0.0,Israel
1262,8400,Tokyo could ban US troops from stationing on disputed isles,0.429,0.571,0.0,Tokyo; US
1263,10166,Putin being FRAMED at UN for War Crimes in Syria Explained,0.281,0.719,0.0,Syria
1271,5855,Dakota Pipeline Protests Are Working! One Bank May Pull Funding of Pipeline Build,0.154,0.846,0.0,Dakota
1273,9194,"After terrorizing America with Zika scaremongering, Washington Post now admits Zika virus doesn’t cause brain deformities after all",0.18,0.721,0.099,America
1274,8753,Why NATO is put on war footing against Russia,0.328,0.672,0.0,Russia
1279,8274,"'Russia has no intention of attacking anyone -this is absurd,' says Vladimir Putin",0.321,0.679,0.0,Russia
1280,6906,Iceland Election: Pirate Party prepares for major win [VIDEO],0.0,0.508,0.492,Iceland
1281,10492,TOP BRITISH GENERAL WARNS OF NUCLEAR WAR WITH RUSSIA; “THE END OF LIFE AS WE KNOW IT”,0.251,0.664,0.085,RUSSIA
1282,5475,U.S. calls for special Intermediate-range Nuclear Forces talks - Russia accepts,0.0,0.643,0.357,US; Russia
1283,5483,Low-Cost Wind Turbine to Power an Entire House for a Lifetime Starts Selling in India,0.0,1.0,0.0,India
1296,9979,The Modern History of ‘Rigged’ US Election,0.0,1.0,0.0,US
1297,8455,"Hillary Clinton’s $500,000 Bribe to the FBI Came Through Virginia – CONFIRMED!",0.16,0.84,0.0,Virginia
1299,8182,Assad Aide: US May ‘Navigate & Direct’ ISIS From Mosul Into Syria,0.0,1.0,0.0,US; Mosul; Syria
1300,10323,BREAKING: Since Donald Trump Won The Presidency Ford Shifts Truck Production From Mexico To Ohio,0.0,0.791,0.209,Mexico; Ohio
1302,9857,Aid Agencies in Iraq Brace for Exodus as Civilians Flee Mosul,0.0,1.0,0.0,Iraq; Mosul
1304,7032,Meet the journalist facing 45 years in jail for filming the tar sands pipeline protest in North Dakota,0.105,0.895,0.0,North Dakota
1305,5554,UK Involvement in US’ Secret Drone War Revealed,0.358,0.642,0.0,UK; US
1315,8915,US Abstains From UN Vote Against Cuba Embargo,0.0,1.0,0.0,US; Cuba
1317,5631,Post-Maidan Ukraine Has Become a Full Fledged Totalitarian State - Volodymyr Chemerys,0.22,0.78,0.0,Ukraine
1326,8739,Syria conflict: Food rations run out in rebel-held Aleppo,0.223,0.777,0.0,Syria; Aleppo
1328,6264,780 Palestinian homes razed in occupied W Bank's Area C in 2016,0.0,1.0,0.0,W Banks
1329,6359,"‘UFO’ Spotted Over Vienna, Frightened Onlookers Call Police",0.293,0.707,0.0,Vienna
1333,7315,Russia Warns US Is Now A Colour Revolution “Active Zone” Due To Trump Victory,0.097,0.903,0.0,Russia; US
1334,8383,Heroic Prego Advertisement Replaces Refreshed Webpage’s Presidential Campaign Banner - The Onion - America's Finest News Source,0.0,0.816,0.184,America
1336,8683,A Tear in the Fabric of America’s Political Theater,0.0,1.0,0.0,America
1337,9103,Michelle Malkin SCHOOLED The Idiots On ‘The View’ On Obama’s LIES To America. They’re SPEECHLESS!,0.215,0.785,0.0,America
1341,7501,Kashmiris observes Black Day decades after India occupied Kashmir,0.0,1.0,0.0,India
1342,9061,Trump Supporters in Philadelphia Paint Nazi Propaganda on Election Night,0.155,0.62,0.225,Philadelphia
1345,9892,Lavrov Schools European Diplomats in Logic Using Examples of Yemen and Ukraine,0.0,1.0,0.0,Yemen; Ukraine
1346,8591,Hillary Clinton Sells 20% of US Uranium To Russia WTF ?,0.312,0.688,0.0,US; Russia
1365,8346,Assange tells the sordid truth about the US elections,0.0,0.777,0.223,US
1376,9388,Doctors Restore Ken Burns’ Full-Color Vision After Removing Massive Tumor From Filmmaker’s Visual Cortex - The Onion - America's Finest News Source,0.101,0.736,0.163,America
1393,8721,"“National Mood” Focus Group Reflects Angry, Divided America",0.32,0.68,0.0,America
1395,8173,PAY TO PLAY : Hillary’s Two Big Favors For Morocco Netted Her $28 Million – TruthFeed,0.105,0.641,0.253,Morocco
1396,7465,Vermont deer attempt to flee to Canada after election results roll in.,0.0,1.0,0.0,Vermont; Canada
1399,7930,US Government Acknowledges That al-Qaeda Is Not A Priority In Syria,0.0,1.0,0.0,US; Syria
1400,5371,Trader Joe’s Fires Employee For Non-Genuine Smile - The Onion - America's Finest News Source,0.0,0.848,0.152,America
1402,8028,Japan’s Lost Black Hole Satellite Took This LAST Photo. Proves Something MIND-BOGGLING!,0.191,0.809,0.0,Japan
1403,7028,Obama's UN Ambassador: Cuba is Right About Our Human Rights,0.0,1.0,0.0,Cuba
1408,7706,"Emma Watson Urges US Women to Consider Gender Equality Nov 8, Gets Massive Wake-Up Call on Facebook",0.0,1.0,0.0,US
1422,5486,Guess Who Ordered Hillary To Leave Our Men To Die In Benghazi,0.338,0.662,0.0,Benghazi
1428,6532,Nevada: Rep. Election Workers Intimidated,0.42,0.58,0.0,Nevada
1430,10216,End of the World? Italy Devastated By Series of Major Earthquakes,0.286,0.714,0.0,Italy
1434,9607,Moscow downplays Spain’s refusal to let Russian warship refuel in Ceuta,0.145,0.855,0.0,Moscow; Spain; Ceuta
1436,6733,"The Comey Confrontation: In Our New Third-World America, Corruption Is A Feature, Not A Bug",0.141,0.859,0.0,America
1454,10343,What Is Behind The Push For War With Russia?,0.328,0.672,0.0,Russia
1455,8777,Israel snubs UNESCO’s Temple Mount resolution with ancient Jerusalem papyrus,0.256,0.744,0.0,Israel; Jerusalem
1461,7357,75% of Americans Think Biased U.S. Media – Not Foreign Interests Such As Russian Hackers – Real Threat To Fair Election - Russia News Now,0.237,0.688,0.075,US
1462,7545,Mudslide on major highway in Colombia kills at least 6,0.28,0.72,0.0,Colombia
1464,8352,US General: Warplanes Will Kill Fleeing ISIS Fighters Around Mosul,0.424,0.576,0.0,US; Mosul
1472,8276,"Iraq and US confident to retake Mosul, Daesh can't 'conduct full-fledged military action'",0.0,0.789,0.211,Iraq; US; Mosul
1482,5292,US-backed Forces Launch Raqqa Offensive as Terror Fears Grow in Europe,0.535,0.465,0.0,US; Raqqa
1486,5359,Purely Coincidental or the Path to a Stolen Election? Voters Report ‘Irregularities’ with Voting Machines Across the US,0.158,0.842,0.0,US
1495,8109,"Police: Oklahoma Double Murder Suspect Has Hit List, May Be Headed to Nevada",0.385,0.615,0.0,Oklahoma; Nevada
1500,7988,"Peaceful, sincerely, with grace: Paris attacks commemorated with floating lanterns",0.161,0.333,0.506,Paris
1505,5507,Anthony Weiner Sends Apology Sext To Entire Clinton Campaign - The Onion - America's Finest News Source,0.0,0.93,0.07,America
1515,8953,GERMAN INTERIOR MINISTER demands that Italy send all new illegal alien Muslim invaders back to Africa,0.194,0.806,0.0,Italy
1527,7668,"No, Mexico Doesn’t Have A Wall On Its Southern Border—But If Trump Wins It Might Build One",0.0,0.812,0.188,Mexico
1543,6645,PUTIN’S LATEST ATTACK AGAINST HILLARY CLINTON AND THE U.S ESTABLISHMENT,0.256,0.744,0.0,US
1544,10514,"Texas Republican Calls Hillary The WORST Word You Could Ever Call A Woman, Blames Staffer (IMAGES)",0.35,0.65,0.0,Texas
1545,10149,"Texas County Enacts ""Emergency Paper Ballots"" After ""Software Glitch"" In Voting Machines",0.191,0.809,0.0,Texas County
1546,5883,Iraqi Soldier Battling in Mosul Reunited with His Family After Two Years of Estrangement,0.139,0.861,0.0,Mosul
1550,8829,BREAKING: Muslim shot dead after trying to KILL GUARD at US EMBASSY in Kenya,0.448,0.552,0.0,US; Kenya
1553,5730,ISIS Executes 300 Iraqi Civilians by Firing Squad North of Mosul,0.194,0.806,0.0,Mosul
1565,9500,United We Grand - The Onion - America's Finest News Source,0.0,0.608,0.392,America
1572,9893,VA Hospital Honors Decorated Veteran of Three Wars with Free Side of Mashed Potatoes | GomerBlog,0.155,0.56,0.284,VA
1575,7211,"“We are losing control of the streets,” say police as Angela Merkel’s Germany descends into chaos and lawlessness",0.283,0.717,0.0,Germany
1577,6280,"Because of Hillary Clinton, Emergency-Contraception Is Banned In Honduras",0.273,0.727,0.0,Honduras
1578,6252,North Dakota had 292 oil spills in 2 years officially disclosed 1 to the public,0.0,1.0,0.0,North Dakota
1581,5934,Yemeni forces fire ballistic missile at Saudi Arabia’s Jeddah airport,0.211,0.789,0.0,Saudi Arabia’s; Jeddah
1591,7153,"NATO, Russia To Hold Parallel Exercises In Balkans",0.0,1.0,0.0,Russia
1592,9875,October Surprise: ABC Uncovers “Millions” of Payments From Russia To Trump,0.0,0.826,0.174,Russia
1594,9884,Contaminated food from China now entering the U.S. under the 'organic' label,0.0,1.0,0.0,China; US
1603,6927,RED ALERT: China officially orders its citizens to prepare for WW3 as tensions with the United States boil over,0.111,0.655,0.235,China; the United States
1606,8708,France Plans to Implement Universal Biometric IDs,0.0,1.0,0.0,France
1608,9628,Israel preparing for one-sided UN Security Council resolutions,0.0,0.745,0.255,Israel
1610,7605,"Comment on India Moves to Severely Restrict Use of Cash, Forcing Much of Economy Into Barter by Bugs Bunny",0.248,0.752,0.0,India
1611,8051,Migrants FLOOD Into U.S. From Mexico Right Before Election,0.0,1.0,0.0,US; Mexico
1616,7467,The USA Era (1945 - 2008) in Retrospect,0.0,1.0,0.0,USA
1617,5822,Russia Warns US In Total Breakdown After FBI Notifies Obama All Hillary Emails Found,0.097,0.903,0.0,Russia; US
1622,9755,US Spy Chief: Asking North Korea To Stop Nuke Program a ‘Lost Cause’,0.155,0.845,0.0,US; North Korea
1624,5905,Putin Mocks Clinton Claim Of Russia Election Meddling: ‘Is U.S. A Banana Republic?’,0.2,0.8,0.0,Russia
1628,6657,"Israel settlements legal, Trump aide says, playing anti-Iran video message on Mount Zion",0.0,0.769,0.231,Israel
1629,10268,Is Obama preparing a parting shot on Israel? This President must not bind the next,0.0,1.0,0.0,Israel
1632,6788,"Wolf Richter: Done in by Overcapacity, Stagnant World Trade, and China, Korean Shipbuilders Collapse on Top of Taxpayers",0.152,0.762,0.086,China
1637,8360,Why Are Russia and China Buying Up All of America’s Food? Paul Martin and Dave Hodges,0.0,1.0,0.0,Russia; China; America
1638,5624,US Votes 'No' As UN Adopts Landmark Resolution Calling to Ban Nuclear Weapons,0.351,0.486,0.162,US
1647,5807,Top EU Official Disputes That Trump Could Upend Iran Nuclear Deal,0.163,0.698,0.14,Iran
1648,8669,Another 4.6-Magnitude Tremor Hits Central Italy After Two Earthquakes,0.0,1.0,0.0,Italy
1649,5774,Comment on Unprecedented letter from Chair of Joint Chiefs suggests U.S. military does not want a President Hillary by joworth,0.06,0.94,0.0,US
1650,7883,Israel Tracked ‘Anti-Government’ Journalists On Facebook,0.0,1.0,0.0,Israel
1654,9891,How To Talk To Your Child About Death - The Onion - America's Finest News Source,0.206,0.794,0.0,America
1656,9958,BREAKING: U.S. And Russian Jets Almost Collide Over Syria,0.112,0.888,0.0,US; Syria
1657,9746,Crossing the Acheron: Back to Vietnam,0.0,1.0,0.0,Vietnam
1658,8834,“America has lost” in the Philippines,0.0,1.0,0.0,America; Philippines
1663,10020,Bombshell: 2006 audio of Hillary Clinton proposing rigging Palestine election,0.0,1.0,0.0,Palestine
1664,5452,Chinese Immigrants Demand Protection from Paris Muggers,0.2,0.8,0.0,Paris
1666,6260,NYC Democratic Election Commissioner: “They Bus People Around to Vote”,0.0,1.0,0.0,NYC
1669,9688,New Heavy-Duty Voting Machine Allows Americans To Take Out Frustration On It Before Casting Ballot - The Onion - America's Finest News Source,0.124,0.876,0.0,America
1670,5646,Hillary admits creation of Mujahedin plague,0.0,0.482,0.518,Mujahedin
1671,6542,Russia prevented Spain from diplomatical conflict denying its proposal,0.398,0.508,0.093,Russia; Spain
1674,5543,DAPL Protesters Proven Right as Largest Gas Pipeline in U.S. Experiences Massive and Deadly Explosion,0.119,0.881,0.0,US
1675,8707,US Insiders  Not Russia  Leaked Clinton Emails,0.0,0.803,0.197,US
1676,5999,Iraq ‘Ready For War’ With Turkey Over Who Should Control Mosul After Isis,0.0,1.0,0.0,Iraq; Turkey; Mosul
1679,6019,"Uber Drivers Found To Discriminate By Gender, Race - The Onion - America's Finest News Source",0.0,1.0,0.0,America
1687,6230,JOHNSON & JOHNSON ORDERED TO PAY $70 MILLION TO CALIFORNIA WOMAN FOR CANCER-LINKED BABY POWDER,0.132,0.868,0.0,CALIFORNIA
1691,5662,Coalition Nations Seek to Put North Korea in a Vise,0.0,1.0,0.0,North Korea
1700,9488,Can U.S. Elections Really Be Stolen? Yes      : Information Clearing House - ICH,0.199,0.631,0.17,US
1702,9719,Alien Insects Capture In UK,0.0,1.0,0.0,UK
1704,9600,Chinese may become Russia’s second largest ethnic population by 2050 | Russia & India Report,0.0,1.0,0.0,Russia; Russia
1711,10409,Why Has Putin Pointed Russia's SATAN Nukes at the US? | Silver Doctors,0.0,1.0,0.0,Russia; US
1714,9213,Can Trump Save America Like Putin Saved Russia? — The Saker,0.0,0.485,0.515,America; Russia
1718,8718,"Exchange of equipment, arms & experience: Large-scale joint NATO drills held in Romania",0.0,1.0,0.0,Romania
1722,9955,Putin Warns “US Has Pushed Russia Back Into Nuclear Arms Race”,0.123,0.877,0.0,US; Russia
1723,6631,Israel Refuses Participation In Paris Peace Conference,0.0,0.632,0.368,Israel; Paris
1724,8277,‘Like Asking if You’ll Stop Beating Your Wife’: Saudi Ambassador to US Dodges Yemen Cluster Bomb Question - American Herald Tribune,0.318,0.682,0.0,US; Yemen
1734,5765,Re: It Is Now Mathematically Impossible To Pay Off The U.S. National Debt,0.262,0.738,0.0,US
1751,8014,How U.S. Schools Can Improve Math Education - The Onion - America's Finest News Source,0.0,0.828,0.172,US; America
1753,10287,"Police Department Is Being Evicted – Lafayette, CA",0.0,1.0,0.0,Lafayette; CA
1766,10006,US-led coalition killed 300 Syrian civilians in 11 probed strikes – Amnesty,0.412,0.588,0.0,US
1767,9985,Half Of Russians Fear Syria Could Spark WW3,0.288,0.541,0.171,Syria
1772,10452,US Election an elaborate John Lewis Christmas campaign. More soon.,0.0,1.0,0.0,US
1774,5676,Russia's 'White Book' on Syria shakes up UN Security Council,0.0,0.789,0.211,Russia; Syria
1777,6322,US-Korean Relations and the New US President | New Eastern Outlook,0.0,1.0,0.0,US
1779,7845,"With 95% of Votes In, All Signs Point to a Trump Victory in Florida",0.0,1.0,0.0,Florida
1788,7495,PressTV-Brazil football legend Carlos Alberto laid to rest,0.0,1.0,0.0,Brazil
1790,9916,The United States Is Pre-Positioning “Enemy Assets” In Preparation For A Rigged Election,0.153,0.675,0.172,The United States
1793,8381,Comment on Man of Sin: Obama says illegal aliens can vote because they are U.S. citizens by Christian Zionist,0.298,0.702,0.0,US
1794,7369,The Most Unhealthy Jobs in America,0.425,0.575,0.0,America
1795,7528,Close call: Russia-U.S. ‘near-miss’ problem moves to Syrian air space,0.231,0.769,0.0,Russia
1796,6764,Washington’s Intent is Economic Destabilization and “Regime Change” In Venezuela,0.0,1.0,0.0,Washington; Venezuela
1798,5368,America gives Grand Piano to horse,0.0,0.625,0.375,America
1801,6321,Queen Elizabeth II owns every dolphin in Britain and doesn't need a driving licence and doesn't pay tax — here are the incredible powers you didn't know the monarchy has,0.0,0.957,0.043,Britain
1805,9446,Re: America Is The Loneliest Country In The World – Is It Because We’ve Abandoned The Traditional Family Structure?,0.274,0.726,0.0,America
1806,7497,"Syrian War Report – November 9, 2016: Russian Navy Is Ready to Strike Terrorists in Aleppo",0.396,0.5,0.104,Aleppo
1811,9632,Steve Pieczenik: U.S. Intelligence Waging Coup Against Corrupt Clintons » REGATED,0.0,0.763,0.237,US
1814,9157,Trump VP’s plane slides off runway at New York airport,0.0,1.0,0.0,New York
1815,6392,UK Child Protection Services workers are ‘afraid’ to challenge the ages of Muslim invaders for fear of ending up in court,0.136,0.809,0.055,UK
1835,8441,Re: America Has Become A Lawless Nation – Hillary Clinton Magically Cleared By The FBI,0.0,0.909,0.091,America
1836,8184,HILLARY PROMISES END TO VIOLENCE THROUGH CIVILIAN DISARMAMENT,0.323,0.472,0.205,HILLARY
1838,9018,"60 Civilians Killed, 200 Injured As US-Led Airstrikes Hit a School In Iraq",0.396,0.604,0.0,US; Iraq
1844,7980,More Reports Of Votes Flipping From Trump To Clinton In Texas ….election Officials Dismiss Concerns… An Ongoing Cbs4 Voter Fraud Investigation Finds People Voting Twice,0.137,0.863,0.0,Texas
1846,9371,Fascism In India - CounterCurrents.org,0.0,1.0,0.0,India
1849,5975,'HACKING DEMOCRACY' CREATOR JUST EXPOSED HOW HILLARY HAS ALREADY RIGGED '99% of VOTING MACHINES'! -,0.299,0.701,0.0,HILLARY
1852,6604,US Military on Ground in Syria Training Opposition for Raqqa Operation,0.0,1.0,0.0,US; Syria; Raqqa
1853,6386,The Orlando Shooter’s 911 Calls Were Finally Released — and They’re Very Telling,0.0,1.0,0.0,Orlando
1866,7112,Vladimir Putin: The United States continues to sleep with al-Nusra,0.0,0.763,0.237,The United States
1872,10078,Iceland’s Pirate Party Makes Strong Showing in New Election,0.0,0.538,0.462,Iceland
1873,9642,US Secret Service Struggles To Find Recruits Who Haven’t Used Adderall,0.2,0.8,0.0,US
1890,5423,Khodorkovsky: Putin is not going to cozy up to Washington,0.0,1.0,0.0,Washington
1898,5789,Theresa May refuses to withdraw support for Saudi Arabia,0.0,0.748,0.252,Saudi Arabia
1900,6363,Canada and EU sign ‘thoroughly undemocratic’ CETA trade deal,0.0,1.0,0.0,Canada; EU
1903,5446,The India-Russia Alliance Isn't Going Anywhere Because It's Underpinned by Values as Well as Interests - Nabarun Roy,0.0,0.688,0.312,India
1904,9931,Is Robert Mugabe on his deathbed? UK planning for transition phase in Zimbabwe,0.0,1.0,0.0,UK; Zimbabwe
1906,6349,"Russia Extends Aleppo Ceasefire Through Friday, Urges Rebels to Leave",0.261,0.609,0.13,Russia; Aleppo
1909,9312,Ukraine just officially declared itself an illegitimate state up for grabs,0.0,1.0,0.0,Ukraine
1914,9782,Comment on Censored News: Black woman kills 12 y.o. white boy with blow torch by TNB – PA,0.242,0.758,0.0,PA
1925,5290,"BRINK OF WAR: UK sends TANKS, DRONES and 800 SOLDIERS to Russian border as tensions grow",0.344,0.656,0.0,UK
1929,9399,THE RIG IS IN: CROOKED HILLARY’S CROOKED VOTING MACHINES,0.158,0.842,0.0,HILLARY
1935,9363,Will Trump's presidency change the way America views Russia?,0.0,1.0,0.0,America; Russia
1940,7002,BREAKING : After Embarrassingly Low Turnout at Ohio Rally Tim Kaine Cancels Florida Rally – TruthFeed,0.34,0.66,0.0,Ohio; Florida
1947,8890,Russia’s Most Potent Weapon: Rapidly “Hoarding Gold” As Global Currency War Is Upon Us,0.347,0.653,0.0,Russia
1948,7446,Police arrest 141 in crackdown on North Dakota pipeline protesters,0.35,0.65,0.0,North Dakota
1949,9596,Russia plans to test elements of new nuclear engine on ISS,0.0,1.0,0.0,Russia
1952,7574,"DEAD MUSLIMS SOCIETY will sue to force small Massachusetts town to allocate space for 16,000 dead Muslims",0.384,0.616,0.0,Massachusetts
1954,8783,Christian Pastor Jailed by Iran Reveals STUNNING Truth About Trump,0.202,0.442,0.356,Iran
1956,10156,Russia to test new anti-tank guided missiles in Syria,0.0,1.0,0.0,Russia; Syria
1976,9752,Russia suggests joint engineering troops’ drills with India,0.0,1.0,0.0,Russia; India
1978,6161,Trump: Israel is a ray of hope to the world,0.0,0.756,0.244,Israel
1982,8170,IOWA FARMER CLAIMS BILL CLINTON HAD SEX WITH COW DURING ‘COCAINE PARTY’,0.0,1.0,0.0,IOWA
1985,5837,"Comment on After Sweeping Election, First Thing Trump Invites Netanyahu to U.S. for Meeting by Debbie Menon",0.0,1.0,0.0,US
1992,8430,Hillary’s Crime Family: End Of Days For The U.S.A.,0.304,0.696,0.0,USA
2005,6855,Good News! First Sanctuary For Abused Circus Elephants Opens In Brazil,0.232,0.581,0.187,Brazil
2006,8128,The Dream Team Of Hillary Clinton and Michelle Obama Fire Democrats Up In North Carolina,0.138,0.747,0.115,North Carolina
2008,6388,War on the Streets of Paris: Armed Migrants Fight Running Battles in the French Capital,0.431,0.569,0.0,Paris
2011,8901,Dennis Kucinich’s Extraordinary Warning on D.C.’s Think Tank Warmongers,0.47,0.53,0.0,DC
2015,5618,Iranians had every right to take over US embassy | Veterans Today,0.0,1.0,0.0,US
2019,10308,Explosive Assange/Pilger Interview on US Election: Expect Riots if Hillary Wins,0.206,0.562,0.231,US
2022,10210,"After terrorizing America with Zika scaremongering, Washington Post now admits Zika virus doesn’t cause brain deformities after all",0.18,0.721,0.099,America
2025,8117,Russia celebrates a Unity Day of liberation of Moscow from the Polish Roman Papists army in 1612,0.0,0.812,0.188,Russia; Moscow
2029,6412,A Measure of Fascism in America,0.0,1.0,0.0,America
2032,6885,Berkeley Protesters Demanding Segregation Force White Students to Cross Creek in Woods to Go to Class,0.213,0.787,0.0,Berkeley
